Img,ID,Name,RGB,Num Parts,Num Sets,First Year,Last Year,LEGO,LDraw,BrickLink,BrickOwl
1cbaa9 AA7F2E,297,Pearl Gold,AA7F2E,49729,14682,2004,2026,"297 ['Warm Gold', 'W.GOLD']",297 ['Pearl_Gold'],115 ['Pearl Gold'],120 ['Pearl Gold']
1c69db DCBC81,142,Pearl Light Gold,DCBC81,28,27,2000,2005,127 ['Gold'],142 ['Pearl_Light_Gold'],61 ['Pearl Light Gold'],121 ['Pearl Light Gold']
1bf4fe FFA70B,462,Medium Orange,FFA70B,494,284,1996,2008,"105 ['Br. yellowish orange', 'BR.YELORA']",462 ['Medium_Orange'],31 ['Medium Orange'],7 ['Medium Orange']
1b4cdd DEC69C,1022,Modulex Buff,DEC69C,1626,42,1963,1963,,,133 ['Mx Buff'],138 ['Modulex Buff']
1aff35 352100,308,Dark Brown,352100,23299,6527,2008,2026,"308 ['Dark Brown', 'DK. BROWN']",308 ['Dark_Brown'],120 ['Dark Brown'],51 ['Dark Brown']
1acadc DD982E,1066,Curry,DD982E,10,6,2004,2005,180 ['Curry'],,161 ['Dark Yellow'],169 ['Curry']
1a87fe FFCB78,1091,Warm Yellowish Orange,FFCB78,19,19,2004,2004,225 ['Warm Yellowish Orange'],,172 ['Warm Yellowish Orange'],8 ['Light Orange']
1a70f2 F3C988,1080,Light Tan,F3C988,1,1,2006,2006,224 ['Light Brick Yellow'],,,
19ffb3 B46A00,1063,Pearl Copper,B46A00,72,45,2017,2020,346 ['Copper Metallic'],,249 ['Reddish Copper'],227 ['Reddish Copper']
19e2f9 FA9C1C,366,Earth Orange,FA9C1C,170,132,1982,2005,12 ['L.ORABROWN'],366 ['Earth_Orange'],29 ['Earth Orange'],59 ['Earth Orange']
19addc DD9E47,1145,Ochre Yellow,DD9E47,10,10,2025,2026,424 ['Ochre Yellow'],,173 ['Ochre Yellow'],255 ['Ochre Yellow']
199cf8 F9BA61,125,Light Orange,F9BA61,66,46,1998,2004,121 ['Medium Yellowish Orange'],125 ['Light_Orange'],32 ['Light Orange'],8 ['Light Orange']
1996ab AC8247,1065,Reddish Gold,AC8247,79,68,2002,2006,"189 ['Reddish Gold', 'Gold Metallic']",189 ['Reddish_Gold'],235 ['Reddish Gold'],215 ['Reddish Gold']
195cf2 F3CF9B,68,Very Light Orange,F3CF9B,16,16,2000,2002,36 ['Light Yellowish Orange'],68 ['Very_Light_Orange'],96 ['Very Light Orange'],91 ['Very Light Orange']
193d64 645A4C,60,Chrome Antique Brass,645A4C,33,16,2001,2005,,60 ['Chrome_Antique_Brass'],57 ['Chrome Antique Brass'],110 ['Chrome Brass']
18daba bb771b,1116,HO Earth Orange,bb771b,2,2,1957,1958,,,,
18718f 907450,1021,Modulex Brown,907450,2223,36,1963,1963,,,132 ['Mx Brown'],137 ['Modulex Brown']
17e1ef F08F1C,182,Trans-Orange,F08F1C,15316,4892,2002,2026,"182 ['Tr. Bright Orange', 'TR. BR. ORANGE']",57 ['Trans_Orange'],98 ['Trans-Orange'],105 ['Transparent Orange']
17e1ef F08F1C,1052,Glitter Trans-Orange,F08F1C,1,1,2020,2020,341 ['TR.BR:ORA W/GLI'],341 ['Glitter_Trans_Orange'],222 ['Glitter Trans-Orange'],179 ['Transparent Orange with Glitter']
17dcee EF9121,1012,Fabuland Orange,EF9121,5,3,1983,1987,19 ['Light Brown'],509 ['Fabuland_Orange'],160 ['Fabuland Orange'],60 ['Fabuland Orange']
176fcb CCA373,1089,Warm Tan,CCA373,417,363,2022,2026,371 ['Warm Tan'],371 ['Medium_Tan'],241 ['Medium Tan'],217 ['Warm Tan']
1745f5 F6D7B3,78,Light Nougat,F6D7B3,10795,5711,2004,2026,"283 ['Light Nougat', 'L.NOUGAT']",78 ['Light_Flesh'],90 ['Light Nougat'],65 ['Light Flesh']
1691fb FCB76D,1004,Trans-Flame Yellowish Orange,FCB76D,214,82,2003,2006,231 ['TR. FL. YEL ORA'],231 ['Trans_Bright_Light_Orange'],164 ['Trans Light Orange'],171 ['Transparent Light Orange']
15ffa8 A95500,484,Dark Orange,A95500,25369,7619,1994,2026,"38 ['Dark Orange', 'DK.ORA']",484 ['Dark_Orange'],68 ['Dark Orange'],54 ['Dark Orange']
15e7fd FE8A18,25,Orange,FE8A18,51942,17024,1997,2026,"106 ['Bright orange', 'BR.ORANGE']",25 ['Orange'],4 ['Orange'],80 ['Orange']
1599f6 F7AD63,1049,Modulex Foil Orange,F7AD63,0,0,,,,,219 ['Mx Foil Orange'],
1599f6 F7AD63,1026,Modulex Light Orange,F7AD63,7,7,1963,1963,,,136 ['Mx Light Orange'],142 ['Modulex Light Orange']
1587b3 B48455,178,Flat Dark Gold,B48455,141,113,2002,2006,"147 ['Gold Metallic', 'MET.SAND.YEL']",178 ['Pearl_Yellow'],81 ['Flat Dark Gold'],21 ['Flat Dark Gold']
150473 737271,1085,Two-tone Silver,737271,6,6,2002,2002,179 ['Silver Flip/Flop'],,239 ['Bionicle Silver'],229 ['Bionicle Silver']
14f2fe FF800D,57,Trans-Neon Orange,FF800D,5607,1947,1993,2024,"47 ['Tr. Flu. Reddish orange', 'TR.FL.REDORA']",38 ['Trans_Neon_Orange'],18 ['Trans-Neon Orange'],161 ['Transparent Neon Reddish Orange']
14ebfe FF8014,1064,Fabuland Red,FF8014,23,16,1979,1994,13 ['Red Orange'],508 ['Fabuland_Red'],,
1480a9 AA7D55,84,Medium Nougat,AA7D55,37377,10826,2010,2026,"312 ['Medium Nougat', 'M. NOUGAT']",84 ['Medium_Nougat'],150 ['Medium Nougat'],74 ['Medium Dark Flesh']
128fb5 B67B50,450,Fabuland Brown,B67B50,55,43,1979,1991,4 ['Brick Red'],450 ['Fabuland_Brown'],106 ['Fabuland Brown'],23 ['Fabuland Brown']
126975 755945,1088,Medium Brown,755945,205,202,2022,2026,370 ['Medium Brown'],370 ['Medium_Brown'],240 ['Medium Brown'],213 ['Medium Brown']
11a9aa AB673A,1084,Two-tone Gold,AB673A,6,6,2002,2002,178 ['Yellow Flip/Flop'],,238 ['Bionicle Gold'],231 ['Bionicle Gold']
1180cf D09168,92,Nougat,D09168,2752,1130,1979,2026,18 ['Nougat'],92 ['Nougat'],28 ['Nougat'],6 ['Flesh']
10cdf3 F47B30,1025,Modulex Orange,F47B30,26,25,1963,1963,,,135 ['Mx Orange'],30 ['Modulex Orange']
109590 915C3C,1137,Sienna Brown,915C3C,50,49,2024,2025,422 ['Sienna Brown'],422 ['Sienna_Brown'],169 ['Sienna'],245 ['Sienna Brown']
108e58 583927,6,Brown,583927,9555,3782,1974,2006,"25 ['Earth Orange', 'EARTH-ORA']",6 ['Brown'],8 ['Brown'],46 ['Brown']
108e58 583927,1056,Opal Trans-Brown,583927,140,16,2020,2023,363 ['Transparent Brown With Opalescence'],363 ['Opal_Trans_Black'],229 ['Satin Trans-Black'],201 ['Transparent Black Opal']
107dad AE7A59,134,Copper,AE7A59,191,44,2004,2008,139 ['Copper'],134 ['Copper'],84 ['Copper'],116 ['Copper']
0fcb58 582A12,70,Reddish Brown,582A12,165406,47021,2003,2026,"192 ['Reddish Brown', 'RED. BROWN']",70 ['Reddish_Brown'],88 ['Reddish Brown'],82 ['Reddish Brown']
0ef1c9 CA4C0B,1136,Reddish Orange,CA4C0B,2918,667,2024,2026,402 ['Red. Orange'],402 ['Reddish_Orange'],167 ['Reddish Orange'],241 ['Reddish Orange']
0e887c 7C503A,86,Light Brown,7C503A,167,100,2002,2006,217 ['BROWN'],86 ['Light_Brown'],91 ['Light Brown'],52 ['Dark Flesh']
0da395 965336,1119,HO Light Brown,965336,1,1,1957,1957,,,,
0da1ac AD6140,1067,Dark Nougat,AD6140,10,10,2001,2004,"128 ['Dark Nougat', 'DARK NOUGAT']",128 ['Dark_Nougat'],225 ['Dark Nougat'],160 ['Dark Nougat']
0d8076 764D3B,1092,Metallic Copper,764D3B,52,18,2008,2012,"300 ['COPPER, DR.LA.']\n334 ['COPPER INK']",300 ['Metallic_Copper'],250 ['Metallic Copper'],225 ['Metallic Copper']
0d7e57 57392C,1072,Pearl Brown,57392C,35,17,2003,2006,"187 ['Metallic Earth Orange', 'MET. EAR.ORA']",,255 ['Pearl Brown'],219 ['Pearl Brown']
0c755e 5E3F33,1138,Umber Brown,5E3F33,14,14,2024,2026,423 ['Umber Brown'],423 ['Umber_Brown'],168 ['Umber'],243 ['Umber Brown']
0aeceb EC4612,1140,Neon Orange,EC4612,8,3,1999,1999,133 ['Neon Orange'],,165 ['Neon Orange'],
08d486 872B17,1081,Rust Orange,872B17,3,3,2004,2005,216 ['Rust'],216 ['Rust'],,83 ['Rust']
07c7ed EE5434,1068,Bright Reddish Orange,EE5434,16,13,2003,2004,123 ['Bright Reddish Orange'],,231 ['Dark Salmon'],158 ['Bright Reddish Orange']
07bcf3 F45C40,1024,Modulex Pink Red,F45C40,7,7,1963,1963,,,130 ['Mx Pink Red'],147 ['Modulex Pink Red']
05f5c9 CA1F08,1010,Vintage Red,CA1F08,31,8,1949,1949,,,,
059cf1 F2705E,12,Salmon,F2705E,185,115,1997,2000,101 ['Medium Red'],12 ['Salmon'],25 ['Salmon'],84 ['Salmon']
058393 945148,1083,Two-tone Copper,945148,2,2,2001,2001,176 ['Red Flip/Flop'],,237 ['Bionicle Copper'],233 ['Bionicle Copper']
04f4c8 C91A09,4,Red,C91A09,307793,92084,1949,2026,"21 ['Bright red', 'BR.RED']",4 ['Red'],5 ['Red'],81 ['Red']
04f4c8 C91A09,36,Trans-Red,C91A09,20136,7041,1969,2026,"41 ['Tr. Red', 'TR.RED']",36 ['Trans_Red'],17 ['Trans-Red'],108 ['Transparent Red']
04d6cd CE3021,1144,Chrome Red,CE3021,4,4,2003,2009,,,,
03f9b2 B31004,216,Rust,B31004,31,17,1989,2001,,216 ['Rust'],27 ['Rust'],83 ['Rust']
03d2b4 B52C20,1023,Modulex Red,B52C20,26,26,1963,1963,,,129 ['Mx Red'],148 ['Modulex Red']
0177d5 D67572,335,Sand Red,D67572,603,51,2001,2004,153 ['Sand red'],335 ['Sand_Red'],58 ['Sand Red'],87 ['Sand Red']
00ff8a 8B0000,1047,Modulex Foil Red,8B0000,0,0,,,,,217 ['Mx Foil Red'],
00ff33 330000,1019,Modulex Tile Brown,330000,158,157,1963,1963,,,131 ['Mx Tile Brown'],151 ['Modulex Tile Brown']
00fe00 FFFFFF,79,Milky White,FFFFFF,239,158,1963,2008,20 ['Nature'],79 ['Milky_White'],60 ['Milky White'],130 ['Translucent White']
00fb00 FCFCFC,47,Trans-Clear,FCFCFC,45286,14691,1954,2026,"40 ['Transparent', 'TR.']",47 ['Trans_Clear'],12 ['Trans-Clear'],97 ['Transparent']
00f201 F2F3F2,183,Pearl White,F2F3F2,46,19,2003,2021,"183 ['Metallic White', 'MET. WHITE']",183 ['Pearl_White'],83 ['Pearl White'],123 ['Pearlescent']
00e8bf c01111,1124,HO Medium Red,c01111,4,4,1957,1958,,,,
00e50d E6E3DA,503,Very Light Gray,E6E3DA,259,49,1997,2004,103 ['Light grey'],503 ['Very_Light_Gray'],49 ['Very Light Gray'],19 ['Very Light Gray']
00e507 E6E3E0,151,Very Light Bluish Gray,E6E3E0,283,152,1998,2013,"208 ['Light stone grey', 'LGH. ST. GREY']",151 ['Very_Light_Bluish_Gray'],99 ['Very Light Bluish Gray'],90 ['Light Stone Gray']
00df00 E0E0E0,383,Chrome Silver,E0E0E0,1325,625,1977,2025,309 ['Metalized Silver'],383 ['Chrome_Silver'],22 ['Chrome Silver'],115 ['Chrome Silver']
00d40e D4D5C9,21,Glow In Dark Opaque,D4D5C9,209,151,1990,2006,"50 ['Phosp. White', 'PHOS.WHITE']",21 ['Glow_In_Dark_Opaque'],46 ['Glow In Dark Opaque'],127 ['Glow in the Dark Opaque']
00b315 A5ADB4,1135,Metal,A5ADB4,55,30,1957,2021,,,,
00b315 A5A9B4,80,Metallic Silver,A5A9B4,3857,1269,1998,2026,"336 ['SILVER INK']\n298 ['C.SILVER, DR. L']",80 ['Metallic_Silver'],67 ['Metallic Silver'],126 ['Metallic Silver']
00ac03 ABADAC,150,Pearl Very Light Gray,ABADAC,40,29,2000,2004,150 ['Metallic Light Gray'],150 ['Pearl_Very_Light_Grey'],119 ['Pearl Very Light Gray'],27 ['Pearl Very Light Gray']
00a80e A0A5A9,71,Light Bluish Gray,A0A5A9,487901,127839,2002,2026,"194 ['Medium stone grey', 'MED. ST-GREY']",71 ['Light_Bluish_Gray'],86 ['Light Bluish Gray'],64 ['Medium Stone Gray']
00a712 9CA3A8,135,Pearl Light Gray,9CA3A8,5488,2388,2000,2011,"296 ['Cool silver']\n131 ['Silver']",135 ['Pearl_Light_Gray'],66 ['Pearl Light Gray'],122 ['Pearl Light Gray']
00a00a 9BA19D,7,Light Gray,9BA19D,92797,25158,1954,2007,2 ['Grey'],7 ['Light_Gray'],9 ['Light Gray'],66 ['Light Gray']
008804 898788,179,Flat Silver,898788,22219,8357,2009,2026,"315 ['Silver Metallic', 'SILVER MET.']",179 ['Pearl_Silver'],95 ['Flat Silver'],117 ['Flat Silver']
0087cf d06262,1130,HO Rose,d06262,1,1,1958,1958,,,,
006e2a 6D6E5C,8,Dark Gray,6D6E5C,22433,7790,1978,2008,"27 ['Dark grey', 'DK.GREY']",8 ['Dark_Gray'],10 ['Dark Gray'],53 ['Dark Gray']
006e0e 6C6E68,72,Dark Bluish Gray,6C6E68,353546,98969,1999,2026,"199 ['Dark stone grey', 'DK. ST. GREY']",72 ['Dark_Bluish_Gray'],85 ['Dark Bluish Gray'],50 ['Dark Stone Gray']
00632c 635F52,40,Trans-Brown,635F52,8654,3007,1999,2025,"111 ['Tr. Brown', 'TR.BROWN']",40 ['Trans_Black'],13 ['Trans-Black'],95 ['Transparent Black']
00632c 635F52,1095,Trans-Black,635F52,845,181,2023,2026,375 ['Tr. Black'],10375 ['Trans_Black'],251 ['Trans-Black (2023)'],235 ['Transparent Black (New)']
00632c 635F52,32,Trans-Black IR Lens,635F52,0,0,,,"109 ['Black IR']\n355 ['Tr.Black IR']",32 ['Trans_Black_IR_Lens'],,
006013 595D60,1016,Modulex Charcoal Gray,595D60,2,2,1963,1963,,,126 ['Mx Charcoal Gray'],29 ['Modulex Charcoal Gray']
006013 595D60,1040,Modulex Foil Dark Gray,595D60,0,0,,,,,210 ['Mx Foil Dark Gray'],
005803 575857,148,Pearl Dark Gray,575857,532,281,2001,2010,"148 ['Mettalic Dark Grey', 'MET.DK.GREY']",148 ['Pearl_Dark_Gray'],77 ['Pearl Dark Gray'],119 ['Pearl Dark Gray']
003e15 3E3C39,1103,Pearl Titanium,3E3C39,7351,3229,2010,2026,"316 ['Titanium Metallic', 'TITAN. METAL.']",87 ['Metallic_Dark_Gray'],77 ['Pearl Dark Gray'],119 ['Pearl Dark Gray']
00347b 1B2A34,64,Chrome Black,1B2A34,10,10,2008,2020,,64 ['Chrome_Black'],122 ['Chrome Black'],111 ['Chrome Black']
00296b 6B5A5A,1017,Modulex Tile Gray,6B5A5A,219,218,1963,1963,,,127 ['Mx Tile Gray'],152 ['Modulex Tile Gray']
001dd3 05131D,133,Speckle Black-Gold,05131D,5,5,2010,2011,"305 ['Warm Gold, Diffuse']",133 ['Speckle_Black_Gold'],151 ['Speckle Black-Gold'],35 ['Speckle Black Gold']
001dd3 05131D,75,Speckle Black-Copper,05131D,10,7,2006,2006,306 ['COP. DIF.'],75 ['Speckle_Black_Copper'],116 ['Speckle Black-Copper'],133 ['Speckle Black Copper']
001dd3 05131D,132,Speckle Black-Silver,05131D,244,91,2005,2013,304 ['CO. SILVER DIF'],132 ['Speckle_Black_Silver'],111 ['Speckle Black-Silver'],24 ['Speckle Black']
001dd3 05131D,0,Black,05131D,793825,220051,1957,2026,"26 ['Black', 'BLACK']\n342 ['CONDUCT. BLACK']","0 ['Black']\n256 ['Rubber_Black']",11 ['Black'],38 ['Black']
0000fe FFFFFF,117,Glitter Trans-Clear,FFFFFF,230,38,1999,2023,"117 ['Transparent Glitter', 'TR.W.GLITTER']\n122 ['Nature with Glitter']",117 ['Glitter_Trans_Clear'],101 ['Glitter Trans-Clear'],131 ['Transparent Glitter']
0000fe FFFFFF,15,White,FFFFFF,492452,144685,1949,2026,"1 ['White', 'WHITE V.3']",15 ['White'],1 ['White'],92 ['White']
0000fe FFFFFF,1143,Glitter Milky White,FFFFFF,4,4,1999,2005,122 ['Nature with Glitter'],,,
0000fe FFFFFF,1039,Modulex Clear,FFFFFF,1394,71,1963,1963,,,149 ['Mx Clear'],139 ['Modulex Clear']
0000fb FCFCFC,1055,Opal Trans-Clear,FCFCFC,858,163,2020,2026,"360 ['Transparent with Opalescence', 'Tr. Opalescence']",360 ['Opal_Trans_Clear'],228 ['Satin Trans-Clear'],193 ['Transparent Opal']
0000f3 F4F4F4,1013,Modulex White,F4F4F4,2998,758,1963,1963,,,123 ['Mx White'],154 ['Modulex White']
0000d8 D9D9D9,1000,Glow in Dark White,D9D9D9,652,183,2011,2025,329 ['WHITE GLOW'],329 ['Glow_In_Dark_White'],159 ['Glow in Dark White'],129 ['Glow in the Dark White']
00009b 9C9C9C,1015,Modulex Light Gray,9C9C9C,2249,62,1963,1963,,,125 ['Mx Light Gray'],141 ['Modulex Light Gray']
00009b 9C9C9C,1041,Modulex Foil Light Gray,9C9C9C,0,0,,,,,211 ['Mx Foil Light Gray'],
000061 616161,1134,HO Titanium,616161,1,1,1958,1958,,,,
00005e 5e5e5e,1126,HO Metallic Dark Gray,5e5e5e,2,2,1958,1959,,,,
